Time,,,HR,BR
3/12/2019,3:56:37,PM,90,13.7
3/12/2019,3:56:38,PM,91,13.7
3/12/2019,3:56:39,PM,92,13.6
3/12/2019,3:56:40,PM,93,13.6
3/12/2019,3:56:41,PM,94,13.4
3/12/2019,3:56:42,PM,95,13.4
3/12/2019,3:56:43,PM,96,13
3/12/2019,3:56:44,PM,97,13
3/12/2019,3:56:46,PM,96,12.6
3/12/2019,3:56:47,PM,94,12.2
3/12/2019,3:56:48,PM,91,12.2
3/12/2019,3:56:49,PM,90,11.9
3/12/2019,3:56:50,PM,90,11.9
3/12/2019,3:56:51,PM,89,11.6
3/12/2019,3:56:52,PM,88,11.6
3/12/2019,3:56:53,PM,89,11.4
3/12/2019,3:56:54,PM,89,11.4
3/12/2019,3:56:55,PM,90,11.4
3/12/2019,3:56:56,PM,92,11.4
3/12/2019,3:56:57,PM,92,11.5
3/12/2019,3:56:58,PM,90,11.5
3/12/2019,3:56:59,PM,88,11.5
3/12/2019,3:57:00,PM,89,11.5
3/12/2019,3:57:01,PM,88,11.9
3/12/2019,3:57:02,PM,86,11.9
3/12/2019,3:57:03,PM,87,12.2
3/12/2019,3:57:04,PM,88,12.2
3/12/2019,3:57:05,PM,89,12.8
3/12/2019,3:57:06,PM,89,12.8
3/12/2019,3:57:07,PM,90,13
3/12/2019,3:57:08,PM,92,13
3/12/2019,3:57:09,PM,92,13.5
3/12/2019,3:57:10,PM,90,13.5
3/12/2019,3:57:11,PM,89,13.6
3/12/2019,3:57:12,PM,87,13.6
3/12/2019,3:57:13,PM,86,14.1
3/12/2019,3:57:14,PM,85,14.1
3/12/2019,3:57:15,PM,85,14.4
3/12/2019,3:57:16,PM,86,14.4
3/12/2019,3:57:17,PM,87,14.5
3/12/2019,3:57:18,PM,87,14.5
3/12/2019,3:57:19,PM,87,14.8
3/12/2019,3:57:20,PM,87,14.8
3/12/2019,3:57:21,PM,87,15.2
3/12/2019,3:57:22,PM,85,15.2
3/12/2019,3:57:23,PM,85,15.4
3/12/2019,3:57:24,PM,85,15.4
3/12/2019,3:57:25,PM,86,15.7
3/12/2019,3:57:26,PM,86,15.7
3/12/2019,3:57:27,PM,89,16.2
3/12/2019,3:57:28,PM,91,16.2
3/12/2019,3:57:29,PM,92,16.4
3/12/2019,3:57:30,PM,93,16.4
3/12/2019,3:57:31,PM,93,16.8
3/12/2019,3:57:32,PM,90,16.8
3/12/2019,3:57:33,PM,90,17
