Time,,,HR,BR
3/26/2019,11:21:04,AM,99,9.6
3/26/2019,11:21:05,AM,102,9.6
3/26/2019,11:21:06,AM,103,8.9
3/26/2019,11:21:07,AM,99,8.9
3/26/2019,11:21:08,AM,95,8.7
3/26/2019,11:21:09,AM,94,8.7
3/26/2019,11:21:10,AM,93,8.7
3/26/2019,11:21:11,AM,94,8.7
3/26/2019,11:21:12,AM,94,8.7
3/26/2019,11:21:13,AM,96,8.7
3/26/2019,11:21:14,AM,95,9
3/26/2019,11:21:15,AM,94,9
3/26/2019,11:21:16,AM,92,9.3
3/26/2019,11:21:17,AM,90,9.3
3/26/2019,11:21:18,AM,88,9.9
3/26/2019,11:21:19,AM,87,9.9
3/26/2019,11:21:20,AM,88,10.4
3/26/2019,11:21:21,AM,88,10.4
3/26/2019,11:21:22,AM,87,10.9
3/26/2019,11:21:23,AM,88,10.9
3/26/2019,11:21:24,AM,90,11.3
3/26/2019,11:21:25,AM,90,11.3
3/26/2019,11:21:26,AM,88,11.9
3/26/2019,11:21:27,AM,89,11.9
3/26/2019,11:21:28,AM,90,12.2
3/26/2019,11:21:29,AM,89,12.2
3/26/2019,11:21:30,AM,88,12.5
3/26/2019,11:21:31,AM,88,12.5
3/26/2019,11:21:32,AM,90,12.8
3/26/2019,11:21:33,AM,90,12.8
3/26/2019,11:21:34,AM,90,13
3/26/2019,11:21:35,AM,92,13
3/26/2019,11:21:36,AM,93,13.5
3/26/2019,11:21:37,AM,91,13.5
3/26/2019,11:21:38,AM,90,13.6
3/26/2019,11:21:39,AM,90,13.6
3/26/2019,11:21:40,AM,90,14.1
3/26/2019,11:21:41,AM,89,14.1
3/26/2019,11:21:42,AM,89,14.1
3/26/2019,11:21:43,AM,91,14.1
3/26/2019,11:21:44,AM,92,14.5
3/26/2019,11:21:45,AM,89,14.5
3/26/2019,11:21:46,AM,88,14.6
3/26/2019,11:21:47,AM,89,14.6
3/26/2019,11:21:48,AM,88,14.9
3/26/2019,11:21:49,AM,85,14.9
3/26/2019,11:21:50,AM,85,14.9
3/26/2019,11:21:51,AM,84,14.9
3/26/2019,11:21:52,AM,85,15.2
3/26/2019,11:21:53,AM,87,15.2
3/26/2019,11:21:54,AM,89,15.5
3/26/2019,11:21:55,AM,88,15.5
3/26/2019,11:21:56,AM,87,15.4
3/26/2019,11:21:57,AM,88,15.4
3/26/2019,11:21:58,AM,88,15.4
3/26/2019,11:21:59,AM,88,15.4
3/26/2019,11:22:00,AM,87,15.4
3/26/2019,11:22:01,AM,87,15.4
3/26/2019,11:22:02,AM,86,15.6
3/26/2019,11:22:03,AM,85,15.6
3/26/2019,11:22:04,AM,85,15.6
3/26/2019,11:22:05,AM,88,15.6
3/26/2019,11:22:06,AM,90,15.8
3/26/2019,11:22:07,AM,89,15.8
3/26/2019,11:22:08,AM,90,15.7
3/26/2019,11:22:09,AM,94,15.7
3/26/2019,11:22:10,AM,95,15.9
3/26/2019,11:22:11,AM,94,15.9
3/26/2019,11:22:12,AM,95,15.9
3/26/2019,11:22:13,AM,95,15.9
3/26/2019,11:22:14,AM,92,15.8
3/26/2019,11:22:15,AM,91,15.8
3/26/2019,11:22:16,AM,94,15.7
3/26/2019,11:22:17,AM,96,15.7
3/26/2019,11:22:18,AM,97,15.9
3/26/2019,11:22:19,AM,98,15.9
3/26/2019,11:22:20,AM,99,15.8
3/26/2019,11:22:21,AM,97,15.8
3/26/2019,11:22:22,AM,93,15.8
3/26/2019,11:22:23,AM,92,15.8
3/26/2019,11:22:24,AM,91,16
3/26/2019,11:22:25,AM,89,16
3/26/2019,11:22:26,AM,91,15.9
3/26/2019,11:22:27,AM,94,15.9
3/26/2019,11:22:28,AM,93,16.1
3/26/2019,11:22:29,AM,91,16.1
3/26/2019,11:22:30,AM,93,16
3/26/2019,11:22:31,AM,94,16
3/26/2019,11:22:32,AM,93,16.2
3/26/2019,11:22:33,AM,94,16.2
3/26/2019,11:22:34,AM,95,16.4
3/26/2019,11:22:35,AM,95,16.4
3/26/2019,11:22:37,AM,93,16.5
3/26/2019,11:22:39,AM,93,16.7
3/26/2019,11:22:40,AM,95,16.8
3/26/2019,11:22:41,AM,99,16.8
3/26/2019,11:22:43,AM,98,17.2
3/26/2019,11:22:44,AM,98,17.3
3/26/2019,11:22:45,AM,96,17.3
3/26/2019,11:22:46,AM,91,17.7
3/26/2019,11:22:47,AM,88,17.7
3/26/2019,11:22:48,AM,91,17.7
3/26/2019,11:22:49,AM,93,17.7
3/26/2019,11:22:50,AM,93,18
3/26/2019,11:22:51,AM,96,18
3/26/2019,11:22:52,AM,97,18
3/26/2019,11:22:53,AM,96,18
